Date,Open,High,Low,Close,Adj Close,Volume
28-09-2015,304.600006,312,302.75,307.200012,299.807983,3282892
29-09-2015,304,304.950012,293,297.399994,290.243774,5666979
30-09-2015,302.950012,303.5,294,299,291.805298,5296746
01-10-2015,302.950012,307.100006,298.5,305.049988,297.709656,4450444
05-10-2015,310,319.649994,309.049988,317.850006,310.201721,5465126
06-10-2015,319.850006,320.950012,313,315.799988,308.201019,3585046
07-10-2015,315.799988,319.5,312.100006,314.549988,306.98111,1851446
08-10-2015,314.100006,322.399994,312.149994,320.75,313.031921,3186244
09-10-2015,323,324.700012,315.950012,318.549988,310.884857,1322859
12-10-2015,322,324.25,318,320.75,313.031921,1229567
13-10-2015,320,325.299988,319.100006,323.549988,315.764526,1271687
14-10-2015,323,328.399994,321.299988,324.5,316.691681,1676790
15-10-2015,325.200012,331,325,329,321.083435,1970502
16-10-2015,330.450012,330.899994,320.049988,323.299988,315.520569,1561900
19-10-2015,323.299988,324.700012,315.600006,317.700012,310.055328,1396880
20-10-2015,319.299988,319.299988,308.700012,309.850006,302.394226,5636626
21-10-2015,309,314.799988,309,314.200012,306.639526,2184160
23-10-2015,317.299988,318,313.049988,314.149994,306.590729,1598163
26-10-2015,315.299988,317,311.600006,316.350006,308.737793,1674155
27-10-2015,315.799988,316.649994,310.350006,311.299988,303.809296,2983187
28-10-2015,309,310.75,298.25,300.649994,293.415558,6552757
29-10-2015,300.850006,303.350006,298.149994,300.100006,292.878845,4435704
30-10-2015,301.799988,302.75,294.350006,296.25,289.12146,3247944
02-11-2015,293.100006,302.700012,290.100006,295.549988,288.438293,7004865
03-11-2015,298.350006,301.5,290.299988,291.200012,284.192963,3207025
04-11-2015,293.450012,295.200012,287.549988,289.450012,282.485138,2575040
05-11-2015,289.200012,292.950012,283,284.100006,277.263824,2305175
06-11-2015,284.5,287.899994,281.299988,285.049988,278.190948,2510273
09-11-2015,277.950012,283.5,274.399994,276.049988,269.407501,5642736
10-11-2015,276,276.600006,262.450012,265.600006,259.208984,5013279
