Date,Open,High,Low,Close,Adj Close,Volume
09-10-2019,1559.300049,1627.75,1547.75,1612.349976,1612.349976,2598430
10-10-2019,1599.900024,1607.349976,1567,1584.800049,1584.800049,1569421
11-10-2019,1595.199951,1625,1575.199951,1587.75,1587.75,2425841
14-10-2019,1598,1609,1576.25,1585.5,1585.5,2010190
15-10-2019,1595.400024,1629.5,1577.5,1615.599976,1615.599976,2706471
16-10-2019,1615,1623.300049,1592.599976,1605.550049,1605.550049,2686333
17-10-2019,1610,1613.599976,1586.5,1604.550049,1604.550049,2076349
18-10-2019,1603.800049,1619.599976,1591,1615.25,1615.25,2357607
22-10-2019,1626.849976,1643,1592,1628.849976,1628.849976,4895082
23-10-2019,1630,1638.699951,1603.300049,1613.650024,1613.650024,3085230
24-10-2019,1619.900024,1629.900024,1597.550049,1613.199951,1613.199951,1600001
25-10-2019,1613.849976,1613.849976,1569.150024,1588.599976,1588.599976,2867020
29-10-2019,1597.400024,1597.400024,1568,1575.550049,1575.550049,3002530
30-10-2019,1579.900024,1588.550049,1573.800049,1578.900024,1578.900024,1677269
31-10-2019,1583.949951,1605,1566,1574.5,1574.5,2481421
01-11-2019,1572,1585.949951,1563,1579.900024,1579.900024,2219737
04-11-2019,1584,1596.800049,1565,1571.050049,1571.050049,1434393
05-11-2019,1568.599976,1569.75,1550.300049,1553.900024,1553.900024,2263394
06-11-2019,1556.449951,1587.949951,1541,1571.050049,1571.050049,2247235
07-11-2019,1577,1587,1558.949951,1584,1584,2511912
08-11-2019,1578.900024,1606,1572,1600.25,1600.25,3913627
11-11-2019,1594.900024,1619.400024,1592,1616.900024,1616.900024,2923574
13-11-2019,1617,1628,1601.099976,1605.800049,1605.800049,2603834
14-11-2019,1606,1610.400024,1584.050049,1597.599976,1597.599976,2639298
15-11-2019,1606,1629,1602.5,1622.75,1622.75,2068406
18-11-2019,1626.650024,1635,1616.550049,1627.199951,1627.199951,2014974
19-11-2019,1629.900024,1631.099976,1614.150024,1623.800049,1623.800049,1596482
20-11-2019,1623,1623.800049,1596.199951,1599.449951,1599.449951,1562436
21-11-2019,1603.449951,1604.900024,1587.5,1595.25,1595.25,1673814
22-11-2019,1591.949951,1593.900024,1565.099976,1569.099976,1569.099976,1862434
25-11-2019,1574,1606,1570.050049,1603.650024,1603.650024,2018421
26-11-2019,1601,1610.5,1591.300049,1604.400024,1604.400024,1556808
27-11-2019,1604.949951,1624,1601.699951,1617.900024,1617.900024,2040883
28-11-2019,1617,1626.099976,1607.099976,1615,1615,2237760
29-11-2019,1610,1622,1592.300049,1615.199951,1615.199951,1730478
02-12-2019,1614.5,1636.5,1600.199951,1633,1633,2289704
03-12-2019,1634.5,1650,1631.449951,1646.75,1646.75,2321783
04-12-2019,1643.300049,1659.900024,1633.199951,1651.25,1651.25,2704079
05-12-2019,1651.25,1660,1640.400024,1649.300049,1649.300049,2936890
06-12-2019,1650,1680,1643.300049,1674.300049,1674.300049,3799507
09-12-2019,1677.949951,1679,1656.5,1659.25,1659.25,1893740
10-12-2019,1665,1665.949951,1651.050049,1662.400024,1662.400024,1413156
11-12-2019,1666,1690.849976,1659.099976,1686.550049,1686.550049,2029117
12-12-2019,1690.199951,1720,1682,1715.599976,1715.599976,2695588
13-12-2019,1716.199951,1719,1687.25,1692.75,1692.75,3527634
16-12-2019,1694,1730,1694,1703.949951,1703.949951,3662127
17-12-2019,1716.050049,1721.400024,1708.599976,1713.300049,1713.300049,2646882
18-12-2019,1719,1725.949951,1706.300049,1724.349976,1724.349976,4592668
19-12-2019,1724.949951,1734.800049,1715.300049,1729.5,1729.5,2701502
20-12-2019,1723.150024,1724.400024,1687.300049,1692.699951,1692.699951,3058679
23-12-2019,1699,1711.199951,1695.099976,1704.900024,1704.900024,1745488
24-12-2019,1704.949951,1716.5,1700,1711.550049,1711.550049,1702704
26-12-2019,1711.050049,1715,1689.699951,1694.25,1694.25,1646970
27-12-2019,1705,1705,1681.349976,1685.599976,1685.599976,1529366
30-12-2019,1690,1706.800049,1685.5,1690.400024,1690.400024,1868284
31-12-2019,1690.400024,1691.25,1670.349976,1684.349976,1684.349976,1969679
01-01-2020,1689,1696.75,1672,1674.050049,1674.050049,1475056
02-01-2020,1680,1683.5,1664.650024,1671.550049,1671.550049,1852089
03-01-2020,1670.949951,1673,1645.550049,1657.099976,1657.099976,1594089
06-01-2020,1657.099976,1657.449951,1638.599976,1652.550049,1652.550049,1480087
07-01-2020,1661.050049,1674.75,1650.400024,1670.849976,1670.849976,2497931
08-01-2020,1654.699951,1661.449951,1638,1654.849976,1654.849976,3125931
09-01-2020,1673.5,1673.75,1658.699951,1665.050049,1665.050049,2668424
10-01-2020,1674.099976,1692,1671.199951,1684.699951,1684.699951,2536083
13-01-2020,1692,1704.5,1685.550049,1691.099976,1691.099976,1807958
14-01-2020,1696,1696.099976,1671,1676.800049,1676.800049,2136892
15-01-2020,1675.949951,1686.599976,1665.900024,1675.599976,1675.599976,2490245
16-01-2020,1678.900024,1705.599976,1678.900024,1701.550049,1701.550049,3321282
17-01-2020,1703.900024,1705.849976,1690.099976,1698.099976,1698.099976,2295875
20-01-2020,1709,1709,1611,1617.900024,1617.900024,8004034
21-01-2020,1605,1630.599976,1585.199951,1625.099976,1625.099976,5745469
22-01-2020,1633.199951,1637.900024,1576,1585.5,1585.5,5479162
23-01-2020,1588,1608.400024,1581.300049,1605.849976,1605.849976,3495683
24-01-2020,1605.449951,1649,1587,1642.949951,1642.949951,4252937
27-01-2020,1628.699951,1629,1608.400024,1618.349976,1618.349976,1874429
28-01-2020,1620,1638,1610.25,1626.050049,1626.050049,1981104
29-01-2020,1633,1646.199951,1623.050049,1640.449951,1640.449951,2227493
30-01-2020,1637.800049,1640.300049,1617.5,1628.25,1628.25,1590156
31-01-2020,1709.650024,1729,1683.150024,1691.75,1691.75,9495046
03-02-2020,1645.599976,1680.800049,1634,1676.25,1676.25,2510294
04-02-2020,1684.050049,1702.800049,1670.150024,1698.300049,1698.300049,2070417
05-02-2020,1702,1707.449951,1677.099976,1689.75,1689.75,2096512
06-02-2020,1693.900024,1697.900024,1668,1674,1674,2532618
07-02-2020,1675.75,1677.949951,1644,1653.050049,1653.050049,2290151
10-02-2020,1660,1674.599976,1645.699951,1669.300049,1669.300049,1355124
11-02-2020,1682.449951,1685.800049,1666.550049,1677.449951,1677.449951,1914766
12-02-2020,1680.099976,1720,1675,1714.900024,1714.900024,3010537
13-02-2020,1714.699951,1714.699951,1682.300049,1689.800049,1689.800049,2246920
14-02-2020,1696,1703,1663.599976,1680.949951,1680.949951,1892157
17-02-2020,1685,1699.199951,1672.25,1691.099976,1691.099976,1812765
18-02-2020,1682.5,1699.800049,1678.300049,1691,1691,2219039
19-02-2020,1740,1740,1695.400024,1701.099976,1701.099976,3168534
20-02-2020,1697.300049,1699.25,1676.199951,1685.949951,1685.949951,2099903
24-02-2020,1672,1683.75,1662.300049,1678.25,1678.25,1926133
25-02-2020,1676.199951,1689.699951,1668.349976,1675.800049,1675.800049,1535555
26-02-2020,1670.099976,1677.699951,1657,1666.5,1666.5,2585895
27-02-2020,1666,1688.900024,1660.599976,1682.75,1682.75,2689352
28-02-2020,1654.900024,1660.099976,1613.75,1620.349976,1620.349976,3743312
02-03-2020,1631,1637.300049,1584.199951,1599,1599,4762847
03-03-2020,1603.800049,1636.349976,1587,1626.300049,1626.300049,2918386
04-03-2020,1632.199951,1633.099976,1577.599976,1607.949951,1607.949951,2530221
05-03-2020,1615,1676.5,1608,1651.349976,1651.349976,5060962
06-03-2020,1605.199951,1644,1598.199951,1631.050049,1631.050049,3542243
09-03-2020,1595,1609.949951,1542.599976,1578.150024,1578.150024,5535501
11-03-2020,1575.949951,1604.900024,1542.5,1589.300049,1589.300049,4714202
12-03-2020,1509.900024,1546.449951,1350.949951,1465.050049,1465.050049,7807913
13-03-2020,1400,1505,1172.050049,1470.050049,1470.050049,11408890
16-03-2020,1417,1444.75,1375,1383.699951,1383.699951,6580520
17-03-2020,1392,1402.949951,1303.099976,1322.699951,1322.699951,4821115
18-03-2020,1326,1329,1162.099976,1171.949951,1171.949951,11165442
19-03-2020,1095.050049,1253.599976,1001,1210.849976,1210.849976,9917249
20-03-2020,1217,1283.599976,1146.5,1262.349976,1262.349976,10379190
23-03-2020,1137.5,1204.449951,1078.150024,1098.25,1098.25,6694405
24-03-2020,1153.150024,1185,1041.099976,1152.900024,1152.900024,7371834
25-03-2020,1140,1324,1125.050049,1290.150024,1290.150024,6449060
26-03-2020,1300,1390,1252.800049,1372.949951,1372.949951,7254949
27-03-2020,1436,1450,1374.550049,1399.099976,1399.099976,10223286
30-03-2020,1345.199951,1380,1275.800049,1293.699951,1293.699951,5570325
31-03-2020,1328.300049,1330,1285,1296.050049,1296.050049,4476861
01-04-2020,1294.900024,1294.900024,1158,1181.650024,1181.650024,10838462
03-04-2020,1181.650024,1183,1087,1140.849976,1140.849976,10111471
