Date,Open,High,Low,Close,Adj Close,Volume
13-08-2019,376.399994,379.549988,359.100006,360.549988,356.608887,2576776
14-08-2019,361.549988,363,356.600006,358.850006,354.92749,4506969
16-08-2019,356.049988,358.549988,350,357.350006,353.443878,4433448
19-08-2019,357.600006,363.399994,356.5,357.399994,353.493317,2152462
20-08-2019,357.399994,359.75,352,354.950012,351.070099,1767899
21-08-2019,355,355,348.399994,350.700012,346.866577,1459740
22-08-2019,348.799988,348.799988,340.799988,345.049988,341.27829,2171160
23-08-2019,346.399994,354.149994,339.649994,349.350006,345.531311,2246560
26-08-2019,366,375,349.350006,368.200012,364.175293,4974219
27-08-2019,370.299988,374.25,367.299988,372.049988,367.983185,3040184
28-08-2019,373.100006,374.25,364.049988,365.950012,361.94986,2186454
29-08-2019,367,370.299988,361.299988,366.200012,362.197144,1725632
30-08-2019,368.450012,368.850006,359.399994,365.700012,361.702606,2313806
03-09-2019,362.700012,367.149994,359.549988,361.299988,357.350677,1638833
04-09-2019,361.299988,365.75,356.649994,364.350006,360.367371,1846644
05-09-2019,365.700012,367.75,361.25,366.549988,362.543304,1642165
06-09-2019,368,368.700012,363.799988,365.75,361.752045,2366109
09-09-2019,365.799988,371.799988,363.649994,369.549988,365.510498,2954338
11-09-2019,371.200012,374.950012,366.5,373.350006,369.268982,3341392
12-09-2019,375,376.200012,370.5,372.450012,368.378815,2625251
13-09-2019,376.5,377,370.399994,374.200012,370.10968,2925109
16-09-2019,373,373.799988,368.100006,370.600006,366.549042,2561643
17-09-2019,370.600006,373.25,362.799988,365.299988,361.306946,2609989
18-09-2019,365,368.299988,364.200012,366.350006,362.34549,1469778
19-09-2019,366.299988,366.5,357.850006,361.899994,357.944122,1317155
20-09-2019,362.450012,384.799988,361,380.700012,376.538635,6134710
23-09-2019,394,417.5,386.100006,410.950012,406.457977,6695717
24-09-2019,409.950012,417.5,403.950012,413.850006,409.326294,3112368
25-09-2019,409.299988,417.950012,409.100006,414.799988,410.265869,2997555
26-09-2019,412.200012,420.600006,412,419.149994,414.568329,8639414
27-09-2019,418,420.5,406.100006,408.600006,404.133667,3789544
30-09-2019,403,415.549988,401.450012,413.950012,409.425201,3152658
01-10-2019,415.200012,417.899994,401.600006,404.049988,399.633392,2532760
03-10-2019,403.5,406.200012,398.600006,403.899994,399.485016,2619077
04-10-2019,405.5,407.25,392.950012,394.600006,390.286713,1610595
07-10-2019,396,400.75,390.649994,395.25,390.929596,1399825
09-10-2019,396.350006,402.850006,391.549988,400.450012,396.072754,3905912
10-10-2019,397.799988,401.600006,395.600006,399.899994,395.528748,3034826
11-10-2019,401.25,410.25,395.899994,409.049988,404.578735,2283201
14-10-2019,410.899994,413,404.799988,407.450012,402.996246,3313476
15-10-2019,408.850006,414.5,407.450012,413.75,409.227356,2434978
16-10-2019,413,413.75,403.600006,410,405.518372,2008661
17-10-2019,409.100006,411.200012,404.600006,409.149994,404.677643,2478950
18-10-2019,410,423.799988,408,421.700012,417.090485,4047650
22-10-2019,421.5,428.850006,417.100006,420.75,416.150848,2380735
23-10-2019,418,419,395,396.100006,391.770294,6752056
24-10-2019,399,401.450012,393.350006,399.149994,394.786957,6433637
25-10-2019,402.950012,402.950012,396.850006,398.950012,394.589142,3272059
29-10-2019,401,401,398.149994,398.950012,394.589142,2269051
30-10-2019,399.200012,405,395.5,398.100006,393.748444,5590453
31-10-2019,399.25,400,393.649994,395.799988,391.473572,2529130
01-11-2019,396,397.25,387.850006,389.75,385.489716,3665336
04-11-2019,390,394.950012,389.75,391,386.726044,3146855
05-11-2019,391.700012,392.899994,386.5,390,385.736969,1395899
06-11-2019,390,394.399994,388.5,391,386.726044,2277683
07-11-2019,390.5,392,388.049988,390.450012,386.182068,1615593
08-11-2019,391.200012,391.200012,385.5,386.149994,381.929047,1206504
11-11-2019,386.149994,389.149994,382.5,387.899994,383.659912,2300763
13-11-2019,391,391.799988,369.399994,370.799988,366.746826,5392849
14-11-2019,371.899994,374.100006,365.850006,369.100006,365.06543,2662084
15-11-2019,369.100006,370.899994,365.5,366.299988,362.296021,2362065
18-11-2019,366.299988,367.450012,364.100006,365.649994,361.653137,1835202
19-11-2019,367.5,368.149994,361.549988,364.049988,360.070618,2758083
20-11-2019,364.5,377.100006,364,366.700012,362.691681,6385953
