Date,Open,High,Low,Close,Adj Close,Volume
21-01-2016,386.799988,397,384.299988,385.649994,374.184357,1469042
22-01-2016,388.950012,400.700012,388.5,395.399994,383.644531,1608149
25-01-2016,400,404.549988,390.299988,391.25,379.61792,1763816
27-01-2016,395,399,393.200012,396.700012,384.905884,2871738
28-01-2016,394.950012,408.5,394.350006,404.600006,392.571014,2784606
29-01-2016,405.149994,422.799988,404.100006,420.049988,407.561646,2605656
01-02-2016,421,422.600006,411.100006,416.5,404.117249,2035568
02-02-2016,416,416.5,400,401.649994,389.70871,997951
03-02-2016,400,412.5,400,404,391.988861,1836644
04-02-2016,410,411.799988,396.299988,399.299988,387.428589,2081736
05-02-2016,400,410.799988,392.700012,409,396.840179,2171019
08-02-2016,406,414.299988,400.399994,402.600006,390.630463,945374
09-02-2016,399,400.950012,388.399994,389.450012,377.871429,2257810
10-02-2016,389.649994,389.649994,376.25,379.350006,368.071716,2014216
11-02-2016,379,379,364,369.350006,358.369019,2504341
12-02-2016,372.100006,374.5,361,370.5,359.484833,2963811
15-02-2016,373,385.350006,373,383.899994,372.48642,2312852
16-02-2016,382.350006,385,360.25,362.549988,351.771149,1703936
17-02-2016,364.5,372.600006,350.100006,370.549988,359.533325,2665334
18-02-2016,372.5,383.399994,372.399994,381.450012,370.109283,2001163
19-02-2016,372.399994,387.5,370.049988,383.850006,372.437927,1358187
22-02-2016,383.850006,395,383,392.899994,381.218842,1437597
23-02-2016,390.25,394.25,381.700012,387.100006,375.591309,1409276
24-02-2016,385,391.549988,378.950012,388,376.464569,996109
25-02-2016,387,389.799988,376.149994,379.5,368.217224,1317234
26-02-2016,385,385.950012,376.299988,381.100006,369.769684,1266637
29-02-2016,381.200012,382.649994,364.149994,372.350006,361.279846,2064381
01-03-2016,375,393.950012,374.149994,391.450012,379.811981,3744149
02-03-2016,397,401,391.25,399.25,387.380066,2729195
03-03-2016,404.450012,404.450012,387.450012,394.450012,382.722748,1836911
04-03-2016,395.399994,399.25,391.549988,396.149994,384.372223,1704396
08-03-2016,395,401.049988,384,390.700012,379.084259,1300712
09-03-2016,386,396.899994,385.100006,395.450012,383.693054,1391465
10-03-2016,396,396.899994,389.100006,391.75,380.103027,680460
11-03-2016,391.600006,401.799988,390.049988,398.600006,386.74942,1396069
14-03-2016,400,407.700012,398,400.5,388.592896,1226585
15-03-2016,399.100006,402.25,384.5,386.299988,374.815063,1649771
16-03-2016,385.200012,388,380.299988,384.450012,373.020081,2218381
17-03-2016,389.700012,392.850006,383.600006,387,375.494232,1834984
18-03-2016,390.899994,392.850006,384.200012,390.649994,379.035767,2219331
21-03-2016,392.799988,393.549988,385.25,391,379.375336,1273122
22-03-2016,391.899994,395.450012,386.5,390,378.40506,2031111
23-03-2016,390.450012,394.75,386.350006,388.5,376.949646,2149658
28-03-2016,392,393,385.100006,387.649994,376.124939,2045328
29-03-2016,387.350006,388,379.149994,381.899994,370.545898,1664535
30-03-2016,384,384,374.75,376.549988,365.354889,4315209
31-03-2016,378.200012,388.299988,372.549988,386.950012,375.44577,3913862
01-04-2016,384,389.700012,383.100006,386.75,375.251648,3562491
04-04-2016,387,396.25,387,394.75,383.013824,1433084
05-04-2016,393.799988,393.799988,382.600006,384.350006,372.923065,1443476
06-04-2016,385.149994,389.899994,384.25,387.950012,376.416046,916721
07-04-2016,392,392,383.100006,384.350006,372.923065,593787
08-04-2016,384.350006,391.100006,382.5,389.100006,377.531799,948219
11-04-2016,389.100006,395.799988,387.600006,394.649994,382.916809,868551
12-04-2016,390.75,406.5,390.75,405.700012,393.638275,1556917
13-04-2016,407.5,410,400.549988,401.899994,389.951263,1173446
18-04-2016,403.399994,409.549988,397.75,407.75,395.62738,1792223
20-04-2016,411.75,411.75,398.450012,399.899994,388.010712,2155336
21-04-2016,401.549988,404.200012,395.549988,399.299988,387.428589,603318
22-04-2016,399.299988,404,398.5,401.100006,389.175079,1038722
25-04-2016,401.100006,402.899994,395.649994,400.700012,388.786926,953370
26-04-2016,397.299988,414.899994,397.299988,413.5,401.206421,2370767
27-04-2016,411.850006,416.799988,406.25,407.850006,395.724396,1175412
28-04-2016,409,410.25,401.700012,405,392.959106,2736668
29-04-2016,403.200012,416.200012,402,414.899994,402.564789,1474626
02-05-2016,414,417.549988,411.25,416.399994,404.020203,1406101
03-05-2016,415,422.899994,414.899994,419.75,407.270569,1808007
04-05-2016,416.700012,417.950012,402.700012,404.549988,392.522491,1440825
05-05-2016,404.399994,404.899994,396.299988,400.450012,388.544373,2185694
06-05-2016,400,405.25,397.799988,403.100006,391.11557,873252
09-05-2016,403,422.850006,403,420.700012,408.192352,1385009
